"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 26, 2016","6,838.05","6,816.90","6,857.29","6,798.82","532.51M","0.31"
"Aug 25, 2016","6,816.90","6,835.78","6,836.22","6,779.15","657.67M","-0.28"
"Aug 24, 2016","6,835.78","6,868.51","6,868.51","6,825.22","748.05M","-0.48"
"Aug 23, 2016","6,868.51","6,828.54","6,885.39","6,828.54","722.22M","0.59"
"Aug 22, 2016","6,828.54","6,858.95","6,884.61","6,812.07","616.67M","-0.44"
"Aug 19, 2016","6,858.95","6,868.96","6,871.48","6,840.94","702.48M","-0.15"
"Aug 18, 2016","6,868.96","6,859.15","6,893.35","6,850.61","579.27M","0.14"
"Aug 17, 2016","6,859.15","6,893.92","6,920.76","6,849.90","716.29M","-0.50"
"Aug 16, 2016","6,893.92","6,941.19","6,941.19","6,893.92","643.22M","-0.68"
"Aug 15, 2016","6,941.19","6,916.02","6,955.34","6,907.17","551.50M","0.36"
"Aug 12, 2016","6,916.02","6,914.71","6,931.04","6,896.04","686.79M","0.02"
"Aug 11, 2016","6,914.71","6,866.42","6,914.71","6,812.73","758.10M","0.70"
"Aug 10, 2016","6,866.42","6,851.30","6,866.42","6,820.04","736.64M","0.22"
"Aug 09, 2016","6,851.30","6,809.13","6,863.10","6,807.76","869.31M","0.62"
"Aug 08, 2016","6,809.13","6,793.47","6,829.47","6,781.47","754.48M","0.23"
"Aug 05, 2016","6,793.47","6,740.16","6,802.41","6,738.57","880.80M","0.79"
"Aug 04, 2016","6,740.16","6,634.40","6,749.67","6,615.83","1.00B","1.59"
"Aug 03, 2016","6,634.40","6,645.40","6,673.63","6,621.42","797.08M","-0.17"
"Aug 02, 2016","6,645.40","6,693.95","6,694.14","6,630.76","822.03M","-0.73"
"Aug 01, 2016","6,693.95","6,724.43","6,769.41","6,678.45","727.71M","-0.45"
"Jul 29, 2016","6,724.43","6,721.06","6,740.47","6,691.13","921.70M","0.05"
"Jul 28, 2016","6,721.06","6,750.43","6,762.72","6,718.90","1.20B","-0.44"
"Jul 27, 2016","6,750.43","6,724.03","6,780.05","6,723.71","786.51M","0.39"
"Jul 26, 2016","6,724.03","6,710.13","6,744.80","6,708.58","737.76M","0.21"
"Jul 25, 2016","6,710.13","6,730.48","6,756.13","6,691.03","682.06M","-0.30"
"Jul 22, 2016","6,730.48","6,699.89","6,735.94","6,663.72","716.11M","0.46"
"Jul 21, 2016","6,699.89","6,728.99","6,732.07","6,694.52","809.67M","-0.43"
"Jul 20, 2016","6,728.99","6,697.37","6,736.57","6,694.36","767.73M","0.47"
"Jul 19, 2016","6,697.37","6,695.42","6,711.69","6,660.87","634.74M","0.03"
"Jul 18, 2016","6,695.42","6,669.24","6,715.58","6,653.67","878.07M","0.39"
"Jul 15, 2016","6,669.24","6,654.47","6,669.24","6,616.51","839.25M","0.22"
"Jul 14, 2016","6,654.47","6,670.40","6,743.42","6,648.40","924.14M","-0.24"
"Jul 13, 2016","6,670.40","6,680.69","6,717.17","6,654.64","1.06B","-0.15"
"Jul 12, 2016","6,680.69","6,682.86","6,703.09","6,663.66","1.17B","-0.03"
"Jul 11, 2016","6,682.86","6,590.64","6,695.07","6,590.64","968.34M","1.40"
"Jul 08, 2016","6,590.64","6,533.79","6,605.83","6,515.24","937.84M","0.87"
"Jul 07, 2016","6,533.79","6,463.59","6,579.25","6,463.59","1.05B","1.09"
"Jul 06, 2016","6,463.59","6,545.37","6,580.32","6,432.47","1.61B","-1.25"
"Jul 05, 2016","6,545.37","6,522.26","6,561.58","6,472.25","1.18B","0.35"
"Jul 04, 2016","6,522.26","6,577.83","6,612.13","6,514.81","748.24M","-0.84"
"Jul 01, 2016","6,577.83","6,504.33","6,587.44","6,498.56","1.10B","1.13"
"Jun 30, 2016","6,504.33","6,360.06","6,504.33","6,309.98","1.56B","2.27"
"Jun 29, 2016","6,360.06","6,140.39","6,360.06","6,140.39","1.50B","3.58"
"Jun 28, 2016","6,140.39","5,982.20","6,170.26","5,982.20","1.59B","2.64"
"Jun 27, 2016","5,982.20","6,138.69","6,138.69","5,958.66","2.51B","-2.55"
"Jun 24, 2016","6,138.69","6,338.10","6,338.55","5,788.74","3.88B","-3.15"
"Jun 23, 2016","6,338.10","6,261.19","6,380.58","6,261.19","915.16M","1.23"
"Jun 22, 2016","6,261.19","6,226.55","6,315.62","6,222.01","884.65M","0.56"
"Jun 21, 2016","6,226.55","6,204.00","6,250.19","6,156.23","842.01M","0.36"
"Jun 20, 2016","6,204.00","6,021.09","6,236.53","6,021.09","1.01B","3.04"
"Jun 17, 2016","6,021.09","5,950.48","6,046.10","5,950.48","1.31B","1.19"
"Jun 16, 2016","5,950.48","5,966.80","5,966.80","5,899.97","815.96M","-0.27"
"Jun 15, 2016","5,966.80","5,923.53","6,007.49","5,923.39","868.08M","0.73"
"Jun 14, 2016","5,923.53","6,044.97","6,044.97","5,921.72","983.53M","-2.01"
"Jun 13, 2016","6,044.97","6,115.76","6,115.76","6,044.97","852.84M","-1.16"
"Jun 10, 2016","6,115.76","6,231.89","6,231.89","6,097.24","748.34M","-1.86"
"Jun 09, 2016","6,231.89","6,301.52","6,301.73","6,229.07","668.49M","-1.10"
"Jun 08, 2016","6,301.52","6,284.53","6,304.51","6,263.80","663.11M","0.27"
"Jun 07, 2016","6,284.53","6,273.40","6,322.60","6,273.40","690.00M","0.18"
"Jun 06, 2016","6,273.40","6,209.63","6,301.56","6,209.63","732.58M","1.03"
"Jun 03, 2016","6,209.63","6,185.61","6,251.74","6,168.19","660.72M","0.39"
"Jun 02, 2016","6,185.61","6,191.93","6,220.27","6,173.05","892.21M","-0.10"
"Jun 01, 2016","6,191.93","6,230.79","6,233.18","6,151.90","887.24M","-0.62"
"May 31, 2016","6,230.79","6,270.79","6,290.07","6,230.11","1.33B","-0.64"
"May 27, 2016","6,270.79","6,265.65","6,275.90","6,250.27","577.10M","0.08"
"May 26, 2016","6,265.65","6,262.85","6,281.73","6,243.49","665.57M","0.04"
"May 25, 2016","6,262.85","6,219.26","6,270.25","6,219.26","870.44M","0.70"
"May 24, 2016","6,219.26","6,136.43","6,231.85","6,109.58","833.81M","1.35"
"May 23, 2016","6,136.43","6,156.32","6,173.06","6,122.57","653.01M","-0.32"
"May 20, 2016","6,156.32","6,053.35","6,156.50","6,053.35","780.58M","1.70"
"May 19, 2016","6,053.35","6,165.80","6,165.80","6,050.21","936.49M","-1.82"
"May 18, 2016","6,165.80","6,167.77","6,169.33","6,115.99","887.53M","-0.03"
"May 17, 2016","6,167.77","6,151.40","6,215.88","6,147.16","758.81M","0.27"
"May 16, 2016","6,151.40","6,138.50","6,157.24","6,092.21","445.33M","0.21"
"May 13, 2016","6,138.50","6,104.19","6,138.50","6,060.10","646.36M","0.56"
"May 12, 2016","6,104.19","6,162.49","6,193.21","6,094.14","698.76M","-0.95"
"May 11, 2016","6,162.49","6,156.65","6,172.72","6,131.22","573.06M","0.09"
"May 10, 2016","6,156.65","6,114.81","6,180.19","6,114.81","652.99M","0.68"
"May 09, 2016","6,114.81","6,125.70","6,177.60","6,108.37","669.49M","-0.18"
"May 06, 2016","6,125.70","6,117.25","6,129.90","6,054.74","720.35M","0.14"
"May 05, 2016","6,117.25","6,112.02","6,152.59","6,102.29","713.23M","0.09"
"May 04, 2016","6,112.02","6,185.59","6,185.59","6,100.76","775.56M","-1.19"
"May 03, 2016","6,185.59","6,241.89","6,270.03","6,159.86","895.10M","-0.90"
"Apr 29, 2016","6,241.89","6,322.40","6,322.40","6,241.89","865.55M","-1.27"
"Apr 28, 2016","6,322.40","6,319.91","6,322.40","6,224.47","861.76M","0.04"
"Apr 27, 2016","6,319.91","6,284.52","6,319.91","6,255.20","822.36M","0.56"
"Apr 26, 2016","6,284.52","6,260.92","6,297.88","6,260.92","776.83M","0.38"
"Apr 25, 2016","6,260.92","6,310.44","6,324.60","6,249.34","688.68M","-0.78"
"Apr 22, 2016","6,310.44","6,381.44","6,381.58","6,289.34","675.93M","-1.11"
"Apr 21, 2016","6,381.44","6,410.26","6,427.32","6,352.93","831.61M","-0.45"
"Apr 20, 2016","6,410.26","6,405.35","6,421.91","6,367.36","814.75M","0.08"
"Apr 19, 2016","6,405.35","6,353.52","6,418.25","6,353.49","808.48M","0.82"
"Apr 18, 2016","6,353.52","6,343.75","6,354.88","6,261.71","613.39M","0.15"
"Apr 15, 2016","6,343.75","6,365.10","6,372.52","6,328.19","780.84M","-0.34"
"Apr 14, 2016","6,365.10","6,362.89","6,373.93","6,335.40","853.11M","0.03"
"Apr 13, 2016","6,362.89","6,242.39","6,362.89","6,242.39","957.14M","1.93"
"Apr 12, 2016","6,242.39","6,200.12","6,248.27","6,176.28","690.14M","0.68"
"Apr 11, 2016","6,200.12","6,204.41","6,229.66","6,165.46","552.59M","-0.07"
"Apr 08, 2016","6,204.41","6,136.89","6,216.28","6,136.89","622.13M","1.10"
"Apr 07, 2016","6,136.89","6,161.63","6,204.11","6,119.38","761.73M","-0.40"
"Apr 06, 2016","6,161.63","6,091.23","6,161.63","6,091.23","738.66M","1.16"
"Apr 05, 2016","6,091.23","6,164.72","6,164.74","6,061.85","826.02M","-1.19"
"Apr 04, 2016","6,164.72","6,146.05","6,201.95","6,132.90","546.68M","0.30"
"Apr 01, 2016","6,146.05","6,174.90","6,174.90","6,076.89","747.48M","-0.47"
"Mar 31, 2016","6,174.90","6,203.17","6,203.39","6,149.82","746.40M","-0.46"
"Mar 30, 2016","6,203.17","6,105.90","6,221.80","6,105.90","803.81M","1.59"
"Mar 29, 2016","6,105.90","6,106.48","6,156.67","6,070.77","596.33M","-0.01"
"Mar 24, 2016","6,106.48","6,199.11","6,199.11","6,090.03","625.28M","-1.49"
"Mar 23, 2016","6,199.11","6,192.74","6,216.76","6,171.13","621.50M","0.10"
"Mar 22, 2016","6,192.74","6,184.58","6,193.47","6,110.39","738.98M","0.13"
"Mar 21, 2016","6,184.58","6,189.64","6,215.30","6,154.12","532.07M","-0.08"
"Mar 18, 2016","6,189.64","6,201.12","6,237.02","6,186.24","1.13B","-0.19"
"Mar 17, 2016","6,201.12","6,175.49","6,220.02","6,125.70","832.61M","0.42"
"Mar 16, 2016","6,175.49","6,139.97","6,186.18","6,134.27","700.76M","0.58"
"Mar 15, 2016","6,139.97","6,174.57","6,174.57","6,114.77","700.31M","-0.56"
"Mar 14, 2016","6,174.57","6,139.79","6,197.83","6,139.79","688.59M","0.57"
"Mar 11, 2016","6,139.79","6,036.70","6,150.88","6,036.70","721.70M","1.71"
"Mar 10, 2016","6,036.70","6,146.32","6,203.40","6,036.70","1.06B","-1.78"
"Mar 09, 2016","6,146.32","6,125.44","6,174.82","6,118.23","758.33M","0.34"
"Mar 08, 2016","6,125.44","6,182.40","6,182.45","6,101.89","913.52M","-0.92"
"Mar 07, 2016","6,182.40","6,199.43","6,216.10","6,125.64","817.96M","-0.27"
"Mar 04, 2016","6,199.43","6,130.46","6,204.14","6,130.46","866.05M","1.13"
"Mar 03, 2016","6,130.46","6,147.06","6,173.70","6,108.35","902.84M","-0.27"
"Mar 02, 2016","6,147.06","6,152.88","6,194.01","6,097.77","904.55M","-0.09"
"Mar 01, 2016","6,152.88","6,097.09","6,153.75","6,070.51","933.63M","0.92"
"Feb 29, 2016","6,097.09","6,096.01","6,104.98","6,033.21","941.71M","0.02"
"Feb 26, 2016","6,096.01","6,012.81","6,115.37","6,012.81","858.94M","1.38"
"Feb 25, 2016","6,012.81","5,867.18","6,028.97","5,867.18","999.96M","2.48"
"Feb 24, 2016","5,867.18","5,962.31","5,966.73","5,845.55","834.68M","-1.60"
"Feb 23, 2016","5,962.31","6,037.73","6,037.73","5,954.18","747.39M","-1.25"
"Feb 22, 2016","6,037.73","5,950.23","6,065.81","5,950.23","822.11M","1.47"
"Feb 19, 2016","5,950.23","5,971.95","6,001.22","5,916.26","692.90M","-0.36"
"Feb 18, 2016","5,971.95","6,030.32","6,036.46","5,948.25","809.87M","-0.97"
"Feb 17, 2016","6,030.32","5,862.17","6,030.32","5,862.17","948.75M","2.87"
"Feb 16, 2016","5,862.17","5,824.28","5,880.72","5,812.49","771.10M","0.65"
"Feb 15, 2016","5,824.28","5,707.60","5,844.53","5,707.60","724.66M","2.04"
"Feb 12, 2016","5,707.60","5,536.97","5,707.60","5,536.97","1.08B","3.08"
"Feb 11, 2016","5,536.97","5,672.30","5,672.30","5,499.51","1.07B","-2.39"
"Feb 10, 2016","5,672.30","5,632.19","5,712.78","5,616.88","994.63M","0.71"
"Feb 09, 2016","5,632.19","5,689.36","5,739.25","5,596.26","1.15B","-1.00"
"Feb 08, 2016","5,689.36","5,848.06","5,882.43","5,666.13","995.84M","-2.71"
"Feb 05, 2016","5,848.06","5,898.76","5,945.90","5,839.36","983.67M","-0.86"
"Feb 04, 2016","5,898.76","5,837.14","5,938.12","5,831.12","1.05B","1.06"
"Feb 03, 2016","5,837.14","5,922.01","5,924.58","5,791.04","1.03B","-1.43"
"Feb 02, 2016","5,922.01","6,060.10","6,060.45","5,889.60","1.02B","-2.28"
"Feb 01, 2016","6,060.10","6,083.79","6,115.11","5,993.84","833.65M","-0.39"
"Jan 29, 2016","6,083.79","5,931.78","6,083.79","5,931.78","1.02B","2.56"
"Jan 28, 2016","5,931.78","5,990.37","6,020.54","5,889.37","918.48M","-0.98"
"Jan 27, 2016","5,990.37","5,911.46","5,990.37","5,870.75","902.09M","1.33"
"Jan 26, 2016","5,911.46","5,877.00","5,919.17","5,771.37","878.66M","0.59"
"Jan 25, 2016","5,877.00","5,900.01","5,933.47","5,851.83","828.64M","-0.39"
"Jan 22, 2016","5,900.01","5,773.79","5,926.94","5,773.79","906.98M","2.19"
"Jan 21, 2016","5,773.79","5,673.58","5,781.24","5,659.15","1.12B","1.77"
"Jan 20, 2016","5,673.58","5,876.80","5,876.80","5,639.88","1.07B","-3.46"
"Jan 19, 2016","5,876.80","5,779.92","5,915.69","5,779.92","833.71M","1.68"
"Jan 18, 2016","5,779.92","5,804.10","5,852.09","5,766.50","741.11M","-0.42"
"Jan 15, 2016","5,804.10","5,918.23","5,934.62","5,769.23","1.12B","-1.93"
"Jan 14, 2016","5,918.23","5,960.97","5,960.97","5,829.26","1.10B","-0.72"
"Jan 13, 2016","5,960.97","5,929.24","6,011.13","5,929.24","834.54M","0.54"
"Jan 12, 2016","5,929.24","5,871.83","5,985.80","5,866.67","831.69M","0.98"
"Jan 11, 2016","5,871.83","5,912.44","5,941.93","5,871.83","841.79M","-0.69"
"Jan 08, 2016","5,912.44","5,954.08","6,013.38","5,912.44","835.01M","-0.70"
"Jan 07, 2016","5,954.08","6,073.38","6,073.38","5,887.97","1.09B","-1.96"
"Jan 06, 2016","6,073.38","6,137.24","6,137.24","6,018.65","721.61M","-1.04"
"Jan 05, 2016","6,137.24","6,093.43","6,166.26","6,079.23","643.37M","0.72"
"Jan 04, 2016","6,093.43","6,242.32","6,242.32","6,071.01","707.34M","-2.39"
"Dec 31, 2015","6,242.32","6,274.05","6,278.31","6,233.03","166.42M","-0.51"
"Dec 30, 2015","6,274.05","6,314.57","6,314.57","6,261.48","337.96M","-0.64"
"Dec 29, 2015","6,314.57","6,254.64","6,314.57","6,245.24","462.31M","0.96"
"Dec 24, 2015","6,254.64","6,240.98","6,259.86","6,236.85","112.22M","0.22"
"Dec 23, 2015","6,240.98","6,083.10","6,248.50","6,083.10","596.53M","2.60"
"Dec 22, 2015","6,083.10","6,034.84","6,090.58","6,031.82","437.45M","0.80"
"Dec 21, 2015","6,034.84","6,052.42","6,113.96","6,034.84","561.86M","-0.29"
"Dec 18, 2015","6,052.42","6,102.54","6,105.57","6,051.74","1.27B","-0.82"
"Dec 17, 2015","6,102.54","6,061.19","6,160.78","6,061.19","747.55M","0.68"
"Dec 16, 2015","6,061.19","6,017.79","6,089.31","6,016.25","773.63M","0.72"
"Dec 15, 2015","6,017.79","5,874.06","6,036.68","5,874.06","836.32M","2.45"
"Dec 14, 2015","5,874.06","5,952.78","6,009.92","5,871.88","805.17M","-1.32"
"Dec 11, 2015","5,952.78","6,088.05","6,088.05","5,949.84","830.91M","-2.22"
"Dec 10, 2015","6,088.05","6,126.68","6,127.09","6,079.96","864.01M","-0.63"
"Dec 09, 2015","6,126.68","6,135.22","6,175.75","6,101.22","775.11M","-0.14"
"Dec 08, 2015","6,135.22","6,223.52","6,224.86","6,120.68","814.51M","-1.42"
"Dec 07, 2015","6,223.52","6,238.29","6,287.23","6,215.17","559.03M","-0.24"
"Dec 04, 2015","6,238.29","6,275.00","6,277.59","6,219.50","683.05M","-0.59"
"Dec 03, 2015","6,275.00","6,420.93","6,444.72","6,275.00","817.89M","-2.27"
"Dec 02, 2015","6,420.93","6,395.65","6,447.34","6,395.20","583.61M","0.40"
"Dec 01, 2015","6,395.65","6,356.09","6,402.36","6,356.09","809.01M","0.62"
"Nov 30, 2015","6,356.09","6,375.15","6,387.11","6,329.92","855.38M","-0.30"
"Nov 27, 2015","6,375.15","6,393.13","6,393.13","6,345.30","486.35M","-0.28"
"Nov 26, 2015","6,393.13","6,337.64","6,395.33","6,333.92","467.83M","0.88"
"Nov 25, 2015","6,337.64","6,277.23","6,348.05","6,277.23","694.08M","0.96"
"Nov 24, 2015","6,277.23","6,305.49","6,305.49","6,221.33","880.47M","-0.45"
"Nov 23, 2015","6,305.49","6,334.63","6,334.63","6,267.05","603.42M","-0.46"
"Nov 20, 2015","6,334.63","6,329.93","6,360.73","6,311.76","832.32M","0.07"
"Nov 19, 2015","6,329.93","6,278.97","6,366.85","6,278.97","772.70M","0.81"
"Nov 18, 2015","6,278.97","6,268.76","6,283.90","6,228.15","634.12M","0.16"
"Nov 17, 2015","6,268.76","6,146.38","6,269.44","6,146.38","719.06M","1.99"
"Nov 16, 2015","6,146.38","6,118.28","6,161.90","6,079.79","621.59M","0.46"
"Nov 13, 2015","6,118.28","6,178.68","6,178.95","6,088.76","702.65M","-0.98"
"Nov 12, 2015","6,178.68","6,297.20","6,300.90","6,178.68","852.48M","-1.88"
"Nov 11, 2015","6,297.20","6,275.28","6,327.16","6,272.69","636.99M","0.35"
"Nov 10, 2015","6,275.28","6,295.16","6,329.69","6,250.31","748.09M","-0.32"
"Nov 09, 2015","6,295.16","6,353.83","6,380.42","6,292.05","678.63M","-0.92"
"Nov 06, 2015","6,353.83","6,364.90","6,395.19","6,332.73","733.58M","-0.17"
"Nov 05, 2015","6,364.90","6,412.88","6,421.81","6,358.12","722.04M","-0.75"
"Nov 04, 2015","6,412.88","6,383.61","6,459.46","6,383.04","782.76M","0.46"
"Nov 03, 2015","6,383.61","6,361.80","6,383.61","6,344.70","627.80M","0.34"
"Nov 02, 2015","6,361.80","6,361.09","6,364.42","6,317.29","522.27M","0.01"
"Oct 30, 2015","6,361.09","6,395.80","6,410.28","6,337.65","738.50M","-0.54"
"Oct 29, 2015","6,395.80","6,437.80","6,437.85","6,358.16","852.19M","-0.65"
"Oct 28, 2015","6,437.80","6,365.27","6,448.46","6,355.78","819.72M","1.14"
"Oct 27, 2015","6,365.27","6,417.02","6,419.62","6,365.27","564.36M","-0.81"
"Oct 26, 2015","6,417.02","6,444.08","6,453.00","6,405.38","454.68M","-0.42"
"Oct 23, 2015","6,444.08","6,376.28","6,487.89","6,376.28","749.54M","1.06"
"Oct 22, 2015","6,376.28","6,348.42","6,387.28","6,321.65","740.62M","0.44"
"Oct 21, 2015","6,348.42","6,345.13","6,387.29","6,316.30","615.20M","0.05"
"Oct 20, 2015","6,345.13","6,352.33","6,367.75","6,319.25","592.20M","-0.11"
"Oct 19, 2015","6,352.33","6,378.04","6,408.09","6,336.27","476.84M","-0.40"
"Oct 16, 2015","6,378.04","6,338.67","6,398.23","6,338.67","610.63M","0.62"
"Oct 15, 2015","6,338.67","6,269.61","6,351.43","6,269.61","644.98M","1.10"
"Oct 14, 2015","6,269.61","6,342.28","6,342.28","6,268.29","638.45M","-1.15"
"Oct 13, 2015","6,342.28","6,371.18","6,371.18","6,303.02","722.57M","-0.45"
"Oct 12, 2015","6,371.18","6,416.16","6,416.16","6,351.34","552.28M","-0.70"
"Oct 09, 2015","6,416.16","6,374.82","6,453.22","6,374.82","768.20M","0.65"
"Oct 08, 2015","6,374.82","6,336.35","6,380.30","6,303.46","742.31M","0.61"
"Oct 07, 2015","6,336.35","6,326.16","6,396.34","6,319.77","1.02B","0.16"
"Oct 06, 2015","6,326.16","6,298.92","6,343.71","6,255.10","737.90M","0.43"
"Oct 05, 2015","6,298.92","6,129.98","6,301.05","6,129.98","890.10M","2.76"
"Oct 02, 2015","6,129.98","6,072.47","6,176.20","6,051.62","888.46M","0.95"
"Oct 01, 2015","6,072.47","6,061.61","6,172.78","6,053.26","873.58M","0.18"
"Sep 30, 2015","6,061.61","5,909.24","6,061.61","5,909.24","1.05B","2.58"
"Sep 29, 2015","5,909.24","5,958.86","5,958.86","5,877.08","1.03B","-0.83"
"Sep 28, 2015","5,958.86","6,109.01","6,110.31","5,958.86","997.74M","-2.46"
"Sep 25, 2015","6,109.01","5,961.49","6,120.67","5,961.49","863.42M","2.47"
"Sep 24, 2015","5,961.49","6,032.24","6,055.64","5,947.19","894.32M","-1.17"
"Sep 23, 2015","6,032.24","5,935.84","6,067.56","5,933.23","748.15M","1.62"
"Sep 22, 2015","5,935.84","6,108.71","6,111.57","5,935.84","970.78M","-2.83"
"Sep 21, 2015","6,108.71","6,104.11","6,168.74","6,083.64","719.11M","0.08"
"Sep 18, 2015","6,104.11","6,186.99","6,188.74","6,053.87","1.55B","-1.34"
"Sep 17, 2015","6,186.99","6,229.21","6,239.86","6,182.63","861.35M","-0.68"
"Sep 16, 2015","6,229.21","6,137.60","6,244.94","6,137.60","844.32M","1.49"
"Sep 15, 2015","6,137.60","6,084.59","6,158.08","6,019.92","728.37M","0.87"
"Sep 14, 2015","6,084.59","6,117.76","6,191.82","6,065.43","617.18M","-0.54"
"Sep 11, 2015","6,117.76","6,155.81","6,174.28","6,113.10","584.62M","-0.62"
"Sep 10, 2015","6,155.81","6,229.01","6,229.01","6,127.52","772.72M","-1.18"
"Sep 09, 2015","6,229.01","6,146.10","6,284.17","6,146.10","756.98M","1.35"
"Sep 08, 2015","6,146.10","6,074.52","6,196.47","6,074.52","685.13M","1.18"
"Sep 07, 2015","6,074.52","6,042.92","6,125.67","6,042.92","479.13M","0.52"
"Sep 04, 2015","6,042.92","6,194.10","6,194.10","6,040.49","766.16M","-2.44"
"Sep 03, 2015","6,194.10","6,083.31","6,215.74","6,083.31","758.47M","1.82"
"Sep 02, 2015","6,083.31","6,058.54","6,161.68","6,021.36","791.46M","0.41"
"Sep 01, 2015","6,058.54","6,247.94","6,247.94","6,028.71","1.03B","-3.03"
"Aug 28, 2015","6,247.94","6,192.03","6,247.94","6,152.01","895.70M","0.90"
"Aug 27, 2015","6,192.03","5,979.20","6,212.48","5,979.20","1.06B","3.56"
"Aug 26, 2015","5,979.20","6,081.34","6,095.05","5,949.94","1.02B","-1.68"
"Aug 25, 2015","6,081.34","5,898.87","6,115.74","5,898.87","1.38B","3.09"
"Aug 24, 2015","5,898.87","6,187.65","6,187.65","5,768.22","1.71B","-4.67"
"Aug 21, 2015","6,187.65","6,367.89","6,367.89","6,187.65","832.21M","-2.83"
"Aug 20, 2015","6,367.89","6,403.45","6,408.61","6,359.71","750.76M","-0.56"
"Aug 19, 2015","6,403.45","6,526.29","6,526.52","6,403.45","721.08M","-1.88"
"Aug 18, 2015","6,526.29","6,550.30","6,564.55","6,505.69","555.00M","-0.37"
"Aug 17, 2015","6,550.30","6,550.74","6,585.88","6,507.76","485.85M","-0.01"
"Aug 14, 2015","6,550.74","6,568.33","6,603.17","6,544.42","595.48M","-0.27"
"Aug 13, 2015","6,568.33","6,571.19","6,634.71","6,553.45","689.59M","-0.04"
"Aug 12, 2015","6,571.19","6,664.54","6,664.54","6,536.41","1.12B","-1.40"
"Aug 11, 2015","6,664.54","6,736.22","6,736.22","6,663.98","727.57M","-1.06"
"Aug 10, 2015","6,736.22","6,718.49","6,751.49","6,653.65","789.15M","0.26"
"Aug 07, 2015","6,718.49","6,747.09","6,754.77","6,718.49","614.01M","-0.42"
"Aug 06, 2015","6,747.09","6,752.41","6,763.34","6,717.49","713.00M","-0.08"
"Aug 05, 2015","6,752.41","6,686.57","6,764.82","6,686.57","873.48M","0.98"
"Aug 04, 2015","6,686.57","6,688.62","6,715.51","6,644.65","1.44B","-0.03"
"Aug 03, 2015","6,688.62","6,696.28","6,710.79","6,668.18","700.91M","-0.11"
"Jul 31, 2015","6,696.28","6,668.87","6,705.42","6,646.26","958.42M","0.41"
"Jul 30, 2015","6,668.87","6,631.00","6,697.40","6,631.00","802.15M","0.57"
"Jul 29, 2015","6,631.00","6,555.28","6,634.04","6,555.28","845.40M","1.16"
"Jul 28, 2015","6,555.28","6,505.13","6,569.45","6,505.13","730.87M","0.77"
"Jul 27, 2015","6,505.13","6,579.81","6,589.48","6,495.67","686.74M","-1.13"
"Jul 24, 2015","6,579.81","6,655.01","6,684.81","6,573.96","664.74M","-1.13"
"Jul 23, 2015","6,655.01","6,667.34","6,711.49","6,644.85","651.24M","-0.18"
"Jul 22, 2015","6,667.34","6,769.07","6,769.07","6,653.39","714.92M","-1.50"
"Jul 21, 2015","6,769.07","6,788.69","6,800.13","6,758.75","573.51M","-0.29"
"Jul 20, 2015","6,788.69","6,775.08","6,813.41","6,772.09","431.75M","0.20"
"Jul 17, 2015","6,775.08","6,796.45","6,799.78","6,764.80","602.28M","-0.31"
"Jul 16, 2015","6,796.45","6,753.75","6,805.14","6,752.09","605.23M","0.63"
"Jul 15, 2015","6,753.75","6,753.75","6,775.91","6,728.49","566.43M","0.00"
"Jul 14, 2015","6,753.75","6,737.95","6,753.75","6,710.62","595.32M","0.23"
"Jul 13, 2015","6,737.95","6,673.38","6,743.05","6,673.38","661.87M","0.97"
"Jul 10, 2015","6,673.38","6,581.63","6,687.57","6,581.63","720.75M","1.39"
"Jul 09, 2015","6,581.63","6,490.70","6,594.18","6,490.70","788.63M","1.40"
"Jul 08, 2015","6,490.70","6,432.21","6,515.06","6,430.36","941.35M","0.91"
"Jul 07, 2015","6,432.21","6,535.68","6,543.80","6,432.21","789.93M","-1.58"
"Jul 06, 2015","6,535.68","6,585.78","6,585.78","6,506.71","629.53M","-0.76"
"Jul 03, 2015","6,585.78","6,630.47","6,630.75","6,572.46","462.88M","-0.67"
"Jul 02, 2015","6,630.47","6,608.59","6,647.70","6,600.37","608.68M","0.33"
"Jul 01, 2015","6,608.59","6,520.98","6,637.34","6,520.98","814.01M","1.34"
"Jun 30, 2015","6,520.98","6,620.48","6,620.75","6,520.98","909.53M","-1.50"
"Jun 29, 2015","6,620.48","6,753.70","6,753.70","6,598.64","786.02M","-1.97"
"Jun 26, 2015","6,753.70","6,807.82","6,807.82","6,731.13","613.76M","-0.79"
"Jun 25, 2015","6,807.82","6,844.80","6,869.04","6,798.80","675.60M","-0.54"
"Jun 24, 2015","6,844.80","6,834.87","6,873.43","6,834.32","688.93M","0.15"
"Jun 23, 2015","6,834.87","6,825.67","6,856.49","6,825.67","598.08M","0.13"
"Jun 22, 2015","6,825.67","6,710.45","6,825.67","6,710.45","772.66M","1.72"
"Jun 19, 2015","6,710.45","6,707.88","6,759.29","6,691.82","1.27B","0.04"
"Jun 18, 2015","6,707.88","6,680.55","6,707.88","6,625.16","797.21M","0.41"
"Jun 17, 2015","6,680.55","6,710.10","6,731.54","6,665.95","706.47M","-0.44"
"Jun 16, 2015","6,710.10","6,710.52","6,723.49","6,656.90","740.51M","-0.01"
"Jun 15, 2015","6,710.52","6,784.92","6,784.92","6,708.50","574.23M","-1.10"
"Jun 12, 2015","6,784.92","6,846.74","6,846.74","6,760.06","610.75M","-0.90"
